sequence,frame,gt_x,gt_y,gt_w,gt_h,pred_x,pred_y,pred_w,pred_h,iou
Basketball,0001.jpg,198,214,34,81,198,214,34,81,1.0
Basketball,0002.jpg,197,214,34,81,178,224,34,81,0.23970290344361916
Basketball,0003.jpg,195,214,34,81,188,244,34,81,0.3333333333333333
Basketball,0004.jpg,193,214,34,81,188,224,34,81,0.5969846332270223
Basketball,0005.jpg,190,217,34,81,178,214,34,81,0.4525316455696203
Basketball,0006.jpg,188,221,34,81,188,234,34,81,0.723404255319149
Basketball,0007.jpg,186,224,34,81,188,244,34,81,0.5489313835770528
Basketball,0008.jpg,186,227,34,81,178,254,34,81,0.34210526315789475
Basketball,0009.jpg,181,234,34,81,178,254,34,81,0.5228089576997512
Basketball,0010.jpg,187,233,34,81,178,254,34,81,0.37425149700598803
Basketball,0011.jpg,186,232,34,81,178,254,34,81,0.3860090588827378
Basketball,0012.jpg,188,233,34,81,188,244,34,81,0.7608695652173914
Basketball,0013.jpg,191,231,34,81,188,254,34,81,0.48463611859838274
Basketball,0014.jpg,193,230,34,81,208,234,34,81,0.36168108776266994
Basketball,0015.jpg,196,230,34,81,198,244,34,81,0.6373365041617123
Basketball,0016.jpg,196,230,34,81,198,244,34,81,0.6373365041617123
Basketball,0017.jpg,200,226,34,81,198,244,34,81,0.5773195876288659
Basketball,0018.jpg,204,225,34,81,198,244,34,81,0.4602332979851538
Basketball,0019.jpg,205,223,34,81,198,244,34,81,0.4166666666666667
Basketball,0020.jpg,208,222,34,81,198,244,34,81,0.3460410557184751
Basketball,0021.jpg,209,222,34,81,218,224,34,81,0.5590150014152279
Basketball,0022.jpg,215,223,34,81,218,214,34,81,0.6813186813186813
Basketball,0023.jpg,218,227,34,81,228,204,34,81,0.33819241982507287
Basketball,0024.jpg,222,227,34,81,208,214,34,81,0.32786885245901637
Basketball,0025.jpg,224,231,34,81,218,224,34,81,0.6030267753201397
Basketball,0026.jpg,228,230,34,81,228,244,34,81,0.7052631578947368
Basketball,0027.jpg,231,234,34,81,228,264,34,81,0.4025974025974026
Basketball,0028.jpg,234,235,34,81,238,254,34,81,0.5098684210526315
Basketball,0029.jpg,239,234,34,81,238,264,34,81,0.44
Basketball,0030.jpg,246,233,34,81,238,254,34,81,0.3951367781155015
Basketball,0031.jpg,250,233,34,81,248,254,34,81,0.5351170568561873
Basketball,0032.jpg,255,233,34,81,258,274,34,81,0.29053420805998126
Basketball,0033.jpg,258,232,34,81,248,254,34,81,0.3460410557184751
Basketball,0034.jpg,263,231,34,81,258,244,34,81,0.5576923076923077
Basketball,0035.jpg,266,229,34,81,258,244,34,81,0.4525316455696203
Basketball,0036.jpg,269,232,34,81,268,254,34,81,0.5467565290648694
